,job title,company,location,applicants,days ago,body,seniority level,employment type,function,industry,links
10,Data Scientist,Recorded Future,"Somerville, MA",,3 days ago,"Recorded Future seeks Data Scientist-Infrastructure Lead in Somerville MA to improve dataset, mined from over 500,000 web sources in 10+ languages, and to enhance Natural Language Processing technology, responsible for owning data processing infrastructure, frameworks, and real-time pipelines that deliver analytical outcomes, including both architectural and hands-on development, using Natural Language Processing and Machine Learning to develop new
processing for novel analytical applications, and experimentation with prototypes for data-driven products.",Entry level,Full-time,Engineering,Information Technology,https://www.linkedin.com/jobs/view/data-scientist-at-recorded-future-1884879992?refId=1138b468-0afe-4813-9179-dfe429127d19&position=11&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click
11,Data Engineer,"OpenArc, LLC.","Allentown, PA",,,"As a Data Engineer, you will work closely with a multidisciplinary Agile team to build high quality data pipelines driving analytic solutions. These solutions will generate insights from our connected data, enabling advance data-driven decision-making capabilities of our enterprise. This role requires a deep understanding of data architecture, data engineering, data analysis, reporting, and a basic understanding of data science techniques and workflows.







The company is an equal opportunity employer and will consider all applications without regards to race, sex, age, color, religion, national origin, veteran status, disability, sexual orientation, gender identity, genetic information or any characteristic protected by law.

OpenArc is a technology consulting firm providing industry-leading technical talent placement, software development, and technology strategy services to clients nationwide. Through a unique blending of people and software, OpenArc has a business practice that delivers amazing enterprise, mobile and consumer-facing apps and the best talent for contract, contract-to-hire and direct placements for clients and partners alike.

Staffed with the most-trusted recruiting experts, elite software developers, UI/UX designers and market experts, our team provides clients with the best resources, the right techniques and world-class support resulting in powerful measurable success.

The company is an equal opportunity employer and will consider all applications without regards to race, sex, age, color, religion, national origin, veteran status, disability, sexual orientation, gender identity, genetic information or any characteristic protected by law.",Entry level,Full-time,Information Technology,Information Technology and Services,https://www.linkedin.com/jobs/view/data-engineer-at-openarc-llc-1912382826?refId=1138b468-0afe-4813-9179-dfe429127d19&position=12&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click
12,Modeling Engineer,FPC of Monmouth Coast,"Huntsville, AL",Be among the first 25 applicants,,"Overview

Seeking Modeling & Simulation (M&S) Analysts / Engineers to join a top-notch R&D team in Huntsville, AL. You’ll be working with radar systems engineers in the development of multi-sensor surveillance and tracking systems deployed in mobile/stationary applications.",Associate,Full-time,Engineering,Consumer Electronics,https://www.linkedin.com/jobs/view/modeling-engineer-at-fpc-of-monmouth-coast-1888191411?refId=1138b468-0afe-4813-9179-dfe429127d19&position=13&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click
13,Data Science Engineer,Stripe,"San Francisco, CA",Over 200 applicants,1 day ago,"Stripe is the best software platform for running an internet business. We handle billions of dollars every year for hundreds of thousands of businesses around the world. One third of Americans bought something on Stripe in the last year.

With all this data, the Data Science team is looking for talented engineers to help us manage business critical data leveraged across the entire organization. If you are data curious, excited about designing data pipelines, and motivated by having impact on the business, we want to hear from you.

Every record in our data warehouse is vitally important for the businesses that use Stripe, so we’re looking for people with a strong background in data engineering and analytics to help us scale while maintaining correct and complete data. You’ll be working with a variety of internal teams across Engineering and Business to help them solve their data needs. Your work will provide teams with visibility into how Stripe’s products are being used and how we can better serve our customers.",Mid-Senior level,Full-time,Information Technology,Computer Software,https://www.linkedin.com/jobs/view/data-science-engineer-at-stripe-1685657041?refId=1138b468-0afe-4813-9179-dfe429127d19&position=14&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click
14,Data Engineer,Fusion Alliance,Cincinnati Metropolitan Area,,,"The person we’re looking for:
• Has a sense of intellectual curiosity and a burning desire to learn
• Is self-driven, actively looks for ways to contribute, and knows how to get things done
• Is relentlessly customer-focused",Mid-Senior level,Full-time,Information Technology,Information Technology and Services,https://www.linkedin.com/jobs/view/data-engineer-at-fusion-alliance-1888183976?refId=1138b468-0afe-4813-9179-dfe429127d19&position=15&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click
15,Process Engineer,"Royal Oak Enterprises, LLC","Crossville, TN",,3 days ago,"Position Summary
The Process Engineer is responsible for managing the technical aspects of the plant, including troubleshooting, process control, and process improvement. The successful applicant will be expected to create and maintain a stable, reliable manufacturing process through analysis of data and application of sound engineering practices. A strong background in engineering and design, project management, LEAN manufacturing principles, and process reliability in a manufacturing environment is desired.",Mid-Senior level,Full-time,Management,Manufacturing,https://www.linkedin.com/jobs/view/process-engineer-at-royal-oak-enterprises-llc-1882549000?refId=1138b468-0afe-4813-9179-dfe429127d19&position=16&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click
16,"Data Engineer, Cell Engineering",Tesla,"Palo Alto, CA",,3 months ago,"The Role

As a member of the Cell Data Engineering team, you will build a diverse set of tools that power our battery cell development. Your work will help scale our efforts to drive down the price of battery cells and improve their performance. As an engineer on the Cell Data team, you bring top-notch software engineering skills and can contribute to our systems immediately. A strong candidate will either be an excellent software generalist, or a backend engineer who has an exceptionally strong database background.",Entry level,Full-time,Information Technology,Automotive,https://www.linkedin.com/jobs/view/data-engineer-cell-engineering-at-tesla-1793290216?refId=1138b468-0afe-4813-9179-dfe429127d19&position=17&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click
17,Data Engineering Intern,DvSum,"California, United States",Over 200 applicants,1 week ago,"Who we are

DvSum is on a mission to bring data-driven decision making to every business. DvSum helps businesses create and manage high quality data to run their business operations, supply chain and analytics. DvSum offers an industry disrupting SaaS data management platform for companies to discover, integrate, validate, cleanse, shape and govern all data.",Internship,Internship,Information Technology,Computer Software,https://www.linkedin.com/jobs/view/data-engineering-intern-at-dvsum-1870034476?refId=1138b468-0afe-4813-9179-dfe429127d19&position=18&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click
18,Application / Process Engineer,Confidential,"New Jersey, United States",,,"Global leader in engineered solutions, systems and technology for industrial applications addressing INDUSTRIAL air pollution control and emission compliance requirements.

The Company is looking for smart, energetic and self-motivated chemical engineers / process engineers with prior air pollution control experience (extremely helpful) to help design, size and spec solutions for growing industrial customer needs. Due to substantial business growth and customer demand, the team is expanding and growing, a number of different engineering roles are open.",Mid-Senior level,Full-time,Engineering,Manufacturing,https://www.linkedin.com/jobs/view/application-process-engineer-at-confidential-1888186628?refId=1138b468-0afe-4813-9179-dfe429127d19&position=19&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click
19,R&M Engineer,Triple E Partners,"Huntsville, AL",Be among the first 25 applicants,1 week ago,"Triple E Partners is immeidately hiring an experienced R&M Engineer for a direct hire role in Huntsville, Alabama

Perform Probabilistic Risk Assessment (PRA) in support of the SLS Program's PRA model development effort. Candidate will be responsible for updating, integrating, and maintaining risk models for the SLS elements managed by MSFC. This includes developing, updating and integrating logic models using quantitative fault tree analysis (SAPHIRE); developing data sources and failure scenarios by analyzing and interpreting failure reports, generic sources, hazard analyses, FMEA/CIL reports, and performing Bayesian updating of failure probability distributions. Additional responsibilities include performing focused quantitative risk assessments to support risk-informed decisions pertaining to flight risk and risk mitigation alternatives.",Mid-Senior level,Full-time,Engineering,Information Technology,https://www.linkedin.com/jobs/view/r-m-engineer-at-triple-e-partners-1869837194?refId=1138b468-0afe-4813-9179-dfe429127d19&position=20&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click
20,Data Engineer,Brooksource,"Seattle, WA",,2 days ago,"About Our Client:
For our client, Yoga is their first love, but they also make technical gear for running, training, and pretty much every other way you like to sweat. You can find their stores all around the world, from Vancouver to Shanghai, and places in between. Their vision is to create transformational experiences for people to live happy, healthy, fun lives. ",Mid-Senior level,Contract,Information Technology,Other,https://www.linkedin.com/jobs/view/data-engineer-at-brooksource-1909944618?refId=1138b468-0afe-4813-9179-dfe429127d19&position=21&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click
21,Data Engineer (Remote),The New York Times,"New York, NY",Over 200 applicants,2 weeks ago,"Job Description

Wirecutter is seeking a Data Engineer to help build the infrastructure, data architecture, and pipelines that power our business. Data Engineers operate within a distributed, agile, cross-functional squad. The data squad has an organization-wide impact by providing the data to inform the user experience, product, editorial, growth, and financial decisions at Wirecutter. The squad is responsible for the ETL processes, architecture, storage, reliability, accuracy, monitoring, and infrastructure surrounding our internal data and analytics.












Founded five years ago by journalists fed up with the time and energy it takes to shop, Wirecutter developed a simpler approach to giving buying advice: just tell people exactly what to get in one single guide. The company’s purpose: to help people find great things, quickly and easily. Through rigorous testing, research, reporting, and whatever means necessary, they create straightforward recommendations that save readers from unnecessary stress, time, and effort. We then monetize these guides by enabling our readers to easily purchase the products they are interested in.



Wirecutter’s main office is located in Long Island City, Queens, NY. We have another small office located in Los Angeles. Wirecutter remains a highly remote culture, and our engineering department is 100% remote.

Right now, we are only eligible to hire in the following locations: AZ, CA, CO, CT, DC, FL, GA, HA, IA, IL, MA, ME, MI, MN, MO, NH, NJ, NY, OH, OR, PA, TX, VA, WA.",Entry level,Full-time,Information Technology,Online Media,https://www.linkedin.com/jobs/view/data-engineer-remote-at-the-new-york-times-1693371063?refId=1138b468-0afe-4813-9179-dfe429127d19&position=22&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click
22,Head of Data Engineering & Data Architecture,Intelletec,"New York, NY",Be among the first 25 applicants,,"An opportunity to make a difference with the market’s most advanced lending platform and network.
THE COMPANY
Growth stage technology company truly focused on making a social impact through lending made simple",Director,Full-time,Information Technology,Engineering,https://www.linkedin.com/jobs/view/head-of-data-engineering-data-architecture-at-intelletec-1887499163?refId=1138b468-0afe-4813-9179-dfe429127d19&position=23&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click
23,Data Science Intern,Vioo,"New York, NY",,,"Vioo was created to democratize experiences so you can make more secure and fulfilling long-term decisions, starting with college and internships.

If you used to create expectations of what your college/work experience would be like, only to get there and realize it wasn’t quite what you imagined, join our team as a summer partner and make sure no other student or parent has to face these decisions unprepared!

Vioo's data team will be creating a fully-fledged solution for collection, storing, recommending, and tracking data from user interactions, social media, and sales channels. Specifically, the business insights intern will be working directly with the founding team and other team leaders to create key performance indicator dashboards. Additionally, the business insights & architecture

What We’re Looking For:
-Data Engineering, Computer Science, Data Science or other Engineering related degree
-Experience with database management, queries, and data privacy
-Experience with PowerBI and other business insights platforms
-Exceptional data visualization capabilities
-Ability to work and code in small teams
-Ability to work remotely and independently and meet deadlines",Not Applicable,Internship,,,https://www.linkedin.com/jobs/view/data-science-intern-at-vioo-1912900483?refId=1138b468-0afe-4813-9179-dfe429127d19&position=24&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click
24,Data Scientist,CGG,"Houston, TX",,,"Company Description

CGG is a fully integrated Geoscience company providing leading geological, geophysical and reservoir capabilities.



CGG is currently looking for a creative and results-focused individual who enjoys working on open-ended problems. Your customers are world-class seismic imagers who strive to image the subsurface with a high degree of accuracy and resolution. Your challenge is to analyze the computational activities and demands of seismic imaging and, with your insights, propose solutions and applications for realms widely ranging from resource scheduling and allocations to automation of imaging-related computations in our HPC environment. In a nutshell, we expect you to propose solutions to known problems and also identify new areas where you can add value with your expertise.

We want people who can work with a team to decide what to look for, and who also have the technical ability to go get it. Interest in data mining and machine learning is key, since these are the two areas where you may specialize. You will participate as an engineer on a development team, writing, testing, and deploying code to achieve your goals. We want you if you are an independent thinker and capable of analyzing requirements, extracting data for analysis, and developing algorithms and tools. We process seismic data at the petascale and warehouse information at the terascale. The stakes are high, but your impact can be higher.








We wish to thank all applicants for their interest; however, only those candidates selected for an interview will be contacted. EOE





Additional Information

All your information will be kept confidential according to EEO guidelines.",Entry level,Full-time,Engineering,Information Technology,https://www.linkedin.com/jobs/view/data-scientist-at-cgg-1890304881?refId=1138b468-0afe-4813-9179-dfe429127d19&position=25&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click
25,Product Data Analyst,Galileo,"New York, NY",Over 200 applicants,4 weeks ago,"Galileo is looking for a Product Data Analyst to leverage data and analytics that will enable tracking of key performance indicators within a robust business intelligence framework.

Galileo is building the future of healthcare - today. Using innovative mobile technology and human-centered design, we're looking to improve the quality and affordability of medical care for all -- including those with Medicare and Medicaid.

Based in NYC, our company is founded by a successful entrepreneur (One Medical, Epocrates), led by a top-notch team, and well-funded from some of the best investors in the country. We seek curious, talented, team-oriented individuals with a diverse set of backgrounds who ultimately want to make a difference.



This is a rare opportunity to harmonize disparate data and improve healthcare in an innovative provider-based organization. Specifically, you will:




We'd love to hear with you if you have:




Galileo is committed to hiring the best talent from a range of backgrounds and experiences—including but not limited to—gender, ethnic, political, economic, religious, sexual orientation, and other personality traits. We believe in a strong culture that fosters teamwork, excellence and sound decision-making —one that is based on mutual respect and trust. We appreciate candidates who are open and honest about what they're looking for so we can ensure it's a fit on both sides.",Entry level,Full-time,Information Technology,Computer Software,https://www.linkedin.com/jobs/view/product-data-analyst-at-galileo-1873122357?refId=97f4bfdb-259a-401b-beb0-acddcf00bfc0&position=1&pageNum=1&trk=public_jobs_job-result-card_result-card_full-click
26,"Software Engineer, Data Engineering",Lyft,"San Francisco, CA",Over 200 applicants,3 weeks ago,"At Lyft, our mission is to improve people’s lives with the world’s best transportation. To do this, we start with our own community by creating an open, inclusive, and diverse organization.

Here at Lyft, Data is the only way we make decisions. It is the core of our business, helping us create a transportation experience for our customers and providing insights into the effectiveness of our product launch & features.

As a Data Engineer at Lyft, you will be a part of an early stage team that builds the data transport, collection, and storage, and exposes services that make data a first-class citizen at Lyft. We are looking for a Data Engineer to build a scalable data platform. You'll have ownership of our core data pipeline that powers Lyft’s top line metrics; You will also use data expertise to help evolve data models in several components of the data stack; You will help architect, building, and launching scalable data pipelines to support Lyft’s growing data processing and analytics needs. Your efforts will allow access to business and user behavior insights, using huge amounts of Lyft data to fuel several teams such as Analytics, Data Science, Marketplace and many others.

You will report to a Data Engineering Manager.",Mid-Senior level,Full-time,Engineering,Information Technology,https://www.linkedin.com/jobs/view/software-engineer-data-engineering-at-lyft-1876296880?refId=97f4bfdb-259a-401b-beb0-acddcf00bfc0&position=2&pageNum=1&trk=public_jobs_job-result-card_result-card_full-click
27,"Data Scientist, Data Engineer II",Mastercard,"O'Fallon, MO",Be among the first 25 applicants,,"Our Purpose

We work to connect and power an inclusive, digital economy that benefits everyone, everywhere by making transactions safe, simple, smart and accessible. Using secure data and networks, partnerships and passion, our innovations and solutions help individuals, financial institutions, governments and businesses realize their greatest potential. Our decency quotient, or DQ, drives our culture and everything we do inside and outside of our company.



Data Scientist, Data Engineer II



The Cyber & Intelligence platform Data Science team is responsible for cutting-edge Artificial Intelligence and Machine Learning product development on Mastercard’s network and decision platform. Our goal is to provide customers with innovative security solutions and best user experience using scalable cognitive solutions.
You will join a team of Data Scientists to work on Smart Authentication products with an emphasis on data engineering tasks. We are pursuing a highly motivated individual with strong problem solving skills to take on the challenge of structuring and engineering data and cutting-edge A.I. model development processes and technologies.

Role





Essential Skills:



Due to COVID-19, most of our employees are working from home. We’ve implemented a virtual hiring process and continue to interview candidates by phone or video and are onboarding new hires remotely. We value the safety of each member of our community because we know we’re all in this together.",Entry level,Full-time,Engineering,Information Technology,https://www.linkedin.com/jobs/view/data-scientist-data-engineer-ii-at-mastercard-1913141098?refId=97f4bfdb-259a-401b-beb0-acddcf00bfc0&position=3&pageNum=1&trk=public_jobs_job-result-card_result-card_full-click
28,Data Scientist,Pactera EDGE,"Redmond, WA",,,"Background:

Pactera Edge is looking for a Data Scientist Engineer for the team in Redmond, WA ",Mid-Senior level,Full-time,Information Technology,Computer Software,https://www.linkedin.com/jobs/view/data-scientist-at-pactera-edge-1887488135?refId=97f4bfdb-259a-401b-beb0-acddcf00bfc0&position=4&pageNum=1&trk=public_jobs_job-result-card_result-card_full-click
29,Business/Data Analyst,Experis,"Seattle, WA",,3 days ago,"Business Analyst
9-11 months
Remote/work from home
Not available for Corp to Corp engagement.


This person will be analyzing all workforce planning data and working with high level stakeholders on actionable recommendations based on this analysis.
This will include development of new techniques for modeling and data analysis to understand ambiguous data as well as forecasting efforts.
Will be working within the people analytics space, data surrounding people or making up metrics that help describe people and behavior.
Weekly reporting, ad/hoc analysis
Working with Excel, SQL, Tableau
Data entry, putting data into online platforms
Analysis through visualization and recording
This person should have a strong mix of technical chops as well as the ability to translate complex concepts to a non-technical audience.



Ability to navigate ambiguity
Able to articulate data efficiently
Experience with Excel, Tableau, some SQL
Experience in Business Analysis
Background in data analytics, quantitative analytics
BS degree in Engineering, Statistics, Computer Science, etc.
Strong (2+ years) analytic tool set to include SQL, Excel, a visualization tool (Tableau, Power BI, Quicksight)
Intermediate (1+ year) scripting language ability (Python, R) and/or strong (2+ years) VBA skills.



Experience with Economics and Mathematics a plus
Scripting language (Python or R)
Advanced statistical analysis to include decision tree algorithms and measuring statistical significance of variables and outputs.
More advanced scripting skills in VBA, Python, or R are a plus. Experience in workforce planning, supply chain planning, or HR/people analytics.

Experis is an Equal Opportunity Employer (EOE/AA)",Associate,Full-time,Information Technology,Information Technology and Services,https://www.linkedin.com/jobs/view/business-data-analyst-at-experis-1908507645?refId=97f4bfdb-259a-401b-beb0-acddcf00bfc0&position=5&pageNum=1&trk=public_jobs_job-result-card_result-card_full-click
30,Data Science Engineer,Stripe,"San Francisco, CA",Over 200 applicants,1 day ago,"Stripe is the best software platform for running an internet business. We handle billions of dollars every year for hundreds of thousands of businesses around the world. One third of Americans bought something on Stripe in the last year.

With all this data, the Data Science team is looking for talented engineers to help us manage business critical data leveraged across the entire organization. If you are data curious, excited about designing data pipelines, and motivated by having impact on the business, we want to hear from you.

Every record in our data warehouse is vitally important for the businesses that use Stripe, so we’re looking for people with a strong background in data engineering and analytics to help us scale while maintaining correct and complete data. You’ll be working with a variety of internal teams across Engineering and Business to help them solve their data needs. Your work will provide teams with visibility into how Stripe’s products are being used and how we can better serve our customers.",Mid-Senior level,Full-time,Information Technology,Computer Software,https://www.linkedin.com/jobs/view/data-science-engineer-at-stripe-1685657041?refId=97f4bfdb-259a-401b-beb0-acddcf00bfc0&position=6&pageNum=1&trk=public_jobs_job-result-card_result-card_full-click
